customerid,gender,seniorcitizen,partner,dependents,tenure,internetservice,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,churn_label,segmento_antiguedad,score_servicios,ratio_cargo_antiguedad,segmento_valor,flag_contrato_mensual,flag_pago_riesgo,cltv_proyectado_24m,prob_churn,pred_churn,nivel_riesgo
3137-NYQQI,Male,0,Yes,No,17,DSL,One year,No,Mailed check,64.8,1175.6,0,No,En desarrollo (13-36m),3,3.81,Medio,0,0,1555.2,0.13411999762430052,0,Bajo
7706-DZNKK,Male,0,No,No,11,No,Month-to-month,Yes,Credit card (automatic),20.45,237.3,0,No,Nuevo (0-12m),0,1.86,Bajo,1,0,490.8,0.18029471974309047,0,Bajo
0236-HFWSV,Male,0,No,No,15,Fiber optic,Month-to-month,Yes,Electronic check,93.35,1444.65,1,Yes,En desarrollo (13-36m),2,6.22,Medio,1,1,2240.4,0.8107755732179374,1,Alto
3900-AQPHZ,Female,0,No,No,1,No,Month-to-month,No,Mailed check,19.9,19.9,1,Yes,Nuevo (0-12m),0,19.9,Bajo,1,0,477.6,0.6325539712485991,1,Medio
5842-POCOP,Female,0,Yes,No,5,Fiber optic,Month-to-month,Yes,Mailed check,88.9,454.15,1,Yes,Nuevo (0-12m),3,17.78,Bajo,1,0,2133.6,0.8861820581608252,1,Alto
2037-XJFUP,Male,0,Yes,No,33,Fiber optic,One year,Yes,Electronic check,95.8,3036.75,1,Yes,En desarrollo (13-36m),3,2.9,Alto,0,1,2299.2,0.5768040460725173,1,Medio
8823-RLPWL,Female,0,Yes,No,72,Fiber optic,Two year,Yes,Credit card (automatic),110.65,8065.65,0,No,Maduro (36m+),5,1.54,Premium,0,0,2655.6,0.05220542787360185,0,Bajo
9505-SQFSW,Female,0,Yes,Yes,3,DSL,Month-to-month,No,Mailed check,40.3,92.5,0,No,Nuevo (0-12m),2,13.43,Bajo,1,0,967.2,0.6402249406471799,1,Medio
7314-OXENN,Male,0,No,No,2,Fiber optic,Month-to-month,Yes,Electronic check,82.0,184.65,1,Yes,Nuevo (0-12m),1,41.0,Bajo,1,1,1968.0,0.8690953330911212,1,Alto
3758-CKOQL,Female,0,Yes,No,59,Fiber optic,One year,Yes,Credit card (automatic),107.0,6152.3,0,No,Maduro (36m+),5,1.81,Premium,0,0,2568.0,0.48282893788792025,0,Medio
0322-CHQRU,Male,0,No,No,2,DSL,Month-to-month,No,Electronic check,45.35,89.5,1,Yes,Nuevo (0-12m),0,22.68,Bajo,1,1,1088.4,0.751852613368852,1,Alto
5676-CFLYY,Male,0,Yes,Yes,71,DSL,Two year,Yes,Credit card (automatic),73.35,5154.5,0,No,Maduro (36m+),4,1.03,Premium,0,0,1760.4,0.048989080303995874,0,Bajo
7521-AFHAB,Female,0,Yes,Yes,5,DSL,Month-to-month,No,Mailed check,44.8,220.45,0,No,Nuevo (0-12m),0,8.96,Bajo,1,0,1075.2,0.48631444603269847,0,Medio
0285-INHLN,Male,0,Yes,Yes,27,DSL,Month-to-month,Yes,Credit card (automatic),54.75,1510.3,0,No,En desarrollo (13-36m),2,2.03,Medio,1,0,1314.0,0.24708995305676382,0,Bajo
4678-DVQEO,Female,0,No,No,1,DSL,Month-to-month,Yes,Electronic check,52.2,52.2,1,Yes,Nuevo (0-12m),1,52.2,Bajo,1,1,1252.8,0.7811602018754225,1,Alto
5125-CNDSP,Male,0,No,Yes,63,DSL,One year,Yes,Bank transfer (automatic),40.6,2588.95,0,No,Maduro (36m+),3,0.64,Alto,0,0,974.4,0.07158163916211857,0,Bajo
0691-IFBQW,Female,1,No,No,46,Fiber optic,One year,Yes,Electronic check,110.0,4874.8,1,Yes,Maduro (36m+),5,2.39,Alto,0,1,2640.0,0.5907615887798812,1,Medio
4992-LTJNE,Male,0,Yes,Yes,72,DSL,Two year,No,Bank transfer (automatic),55.3,3983.6,0,No,Maduro (36m+),1,0.77,Alto,0,0,1327.2,0.024585245582142246,0,Bajo
2202-OUTMO,Female,0,Yes,No,34,DSL,Month-to-month,Yes,Bank transfer (automatic),60.85,2003.6,0,No,En desarrollo (13-36m),2,1.79,Alto,1,0,1460.4,0.2550561455798711,0,Bajo
0810-BDHAW,Female,0,Yes,Yes,24,DSL,One year,No,Electronic check,78.4,1832.4,0,No,En desarrollo (13-36m),4,3.27,Medio,0,1,1881.6,0.1495894018472868,0,Bajo
0229-LFJAF,Male,0,No,No,72,DSL,Two year,No,Bank transfer (automatic),69.65,4908.25,0,No,Maduro (36m+),4,0.97,Alto,0,0,1671.6,0.0395275113715374,0,Bajo
7131-ZQZNK,Female,0,Yes,Yes,60,DSL,Two year,No,Credit card (automatic),59.85,3590.2,0,No,Maduro (36m+),5,1.0,Alto,0,0,1436.4,0.03958033325030047,0,Bajo
3442-ZHHCC,Male,0,No,No,68,DSL,One year,Yes,Credit card (automatic),76.9,5023.0,0,No,Maduro (36m+),4,1.13,Premium,0,0,1845.6,0.19087056266899372,0,Bajo
5726-CVNYA,Female,0,Yes,Yes,8,No,Two year,Yes,Mailed check,19.85,146.6,0,No,Nuevo (0-12m),0,2.48,Bajo,0,0,476.4,0.10953455119641793,0,Bajo
9871-ELEYA,Female,0,No,Yes,34,DSL,Two year,No,Credit card (automatic),67.65,2339.3,0,No,En desarrollo (13-36m),4,1.99,Alto,0,0,1623.6,0.06513713498132434,0,Bajo
4257-GAESD,Female,0,No,No,6,DSL,Month-to-month,No,Credit card (automatic),45.0,298.7,0,No,Nuevo (0-12m),2,7.5,Bajo,1,0,1080.0,0.4594571434436243,0,Medio
5173-WXOQV,Male,0,Yes,No,2,DSL,Month-to-month,Yes,Mailed check,64.2,143.65,0,No,Nuevo (0-12m),3,32.1,Bajo,1,0,1540.8,0.47117181519307283,0,Medio
2040-OBMLJ,Male,0,No,No,31,Fiber optic,One year,No,Credit card (automatic),81.7,2548.65,0,No,En desarrollo (13-36m),1,2.64,Alto,0,0,1960.8,0.20009399814892506,0,Bajo
6286-ZHAOK,Female,0,Yes,Yes,20,No,Month-to-month,Yes,Bank transfer (automatic),25.55,507.4,0,No,En desarrollo (13-36m),0,1.28,Medio,1,0,613.2,0.1683668744100044,0,Bajo
3807-XHCJH,Female,0,Yes,Yes,1,No,Month-to-month,No,Electronic check,20.0,20.0,0,No,Nuevo (0-12m),0,20.0,Bajo,1,1,480.0,0.5584563801609277,1,Medio
3009-JWMPU,Male,0,No,No,62,Fiber optic,One year,Yes,Electronic check,96.75,6125.4,1,Yes,Maduro (36m+),3,1.56,Premium,0,1,2322.0,0.41163053462544347,0,Medio
5671-RQRLP,Female,1,Yes,No,70,Fiber optic,Two year,Yes,Credit card (automatic),75.65,5411.4,0,No,Maduro (36m+),0,1.08,Premium,0,0,1815.6,0.09737606520971459,0,Bajo
1450-GALXR,Female,0,No,No,10,Fiber optic,Month-to-month,Yes,Electronic check,98.5,1058.25,1,Yes,Nuevo (0-12m),3,9.85,Medio,1,1,2364.0,0.9044256281426394,1,Alto
8859-AXJZP,Male,0,Yes,Yes,39,No,Two year,Yes,Mailed check,23.8,903.8,0,No,Maduro (36m+),0,0.61,Medio,0,0,571.2,0.012865011056257923,0,Bajo
3174-AKMAS,Female,0,Yes,No,46,DSL,Two year,Yes,Credit card (automatic),64.2,3009.5,0,No,Maduro (36m+),3,1.4,Alto,0,0,1540.8,0.06449780066925904,0,Bajo
3138-BKYAV,Male,0,No,No,6,Fiber optic,Month-to-month,Yes,Electronic check,85.35,489.45,1,Yes,Nuevo (0-12m),2,14.22,Bajo,1,1,2048.4,0.8785499920850117,1,Alto
9926-PJHDQ,Female,0,Yes,Yes,72,DSL,Two year,Yes,Bank transfer (automatic),76.8,5468.45,0,No,Maduro (36m+),3,1.07,Premium,0,0,1843.2,0.05932753207520051,0,Bajo
7382-DFJTU,Male,0,No,No,18,DSL,Month-to-month,No,Credit card (automatic),55.2,1058.1,0,No,En desarrollo (13-36m),2,3.07,Medio,1,0,1324.8,0.39077041198519735,0,Bajo
2798-NYLMZ,Male,0,Yes,No,71,Fiber optic,Two year,Yes,Credit card (automatic),108.55,7616.0,0,No,Maduro (36m+),5,1.53,Premium,0,0,2605.2,0.33541950056589676,0,Bajo
4289-DTDKW,Male,0,Yes,No,40,Fiber optic,Month-to-month,Yes,Electronic check,101.3,4113.1,1,Yes,Maduro (36m+),3,2.53,Alto,1,1,2431.2,0.7637318583712299,1,Alto
1820-TQVEV,Male,0,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,69.55,69.55,1,Yes,Nuevo (0-12m),0,69.55,Bajo,1,1,1669.2,0.940917864412876,1,Alto
2239-JALAW,Male,0,No,No,58,Fiber optic,One year,Yes,Bank transfer (automatic),103.25,6017.65,1,Yes,Maduro (36m+),4,1.78,Premium,0,0,2478.0,0.599635374408645,1,Medio
4853-RULSV,Male,0,No,No,70,Fiber optic,Two year,Yes,Credit card (automatic),104.0,7250.15,1,Yes,Maduro (36m+),4,1.49,Premium,0,0,2496.0,0.37262069094179767,0,Bajo
8098-TDCBU,Female,0,Yes,No,42,No,Two year,No,Electronic check,25.25,1108.2,0,No,Maduro (36m+),0,0.6,Medio,0,1,606.0,0.04761078345798869,0,Bajo
3551-GAEGL,Male,0,Yes,Yes,34,DSL,One year,No,Bank transfer (automatic),30.4,938.65,0,No,En desarrollo (13-36m),1,0.89,Medio,0,0,729.6,0.09116571152323431,0,Bajo
4785-NKHCX,Male,1,No,No,5,No,Month-to-month,No,Bank transfer (automatic),20.05,94.15,0,No,Nuevo (0-12m),0,4.01,Bajo,1,0,481.2,0.25596906415430865,0,Bajo
3196-NVXLZ,Female,0,No,No,25,Fiber optic,Month-to-month,Yes,Mailed check,84.6,2088.05,0,No,En desarrollo (13-36m),1,3.38,Alto,1,0,2030.4,0.5942284411372462,1,Medio
6275-YDUVO,Female,0,No,No,2,Fiber optic,Month-to-month,Yes,Mailed check,86.2,178.7,1,Yes,Nuevo (0-12m),2,43.1,Bajo,1,0,2068.8,0.8819697760058305,1,Alto
0036-IHMOT,Female,0,Yes,Yes,55,Fiber optic,One year,Yes,Bank transfer (automatic),103.7,5656.75,0,No,Maduro (36m+),5,1.89,Premium,0,0,2488.8,0.4220273330691737,0,Medio
0115-TFERT,Male,0,Yes,No,21,Fiber optic,Month-to-month,Yes,Electronic check,111.2,2317.1,1,Yes,En desarrollo (13-36m),5,5.3,Alto,1,1,2668.8,0.7344837242850069,1,Alto
4178-EGMON,Male,0,Yes,No,70,Fiber optic,Two year,Yes,Credit card (automatic),88.0,5986.45,0,No,Maduro (36m+),3,1.26,Premium,0,0,2112.0,0.06282105834659152,0,Bajo
4220-TINQT,Female,0,Yes,No,61,Fiber optic,Month-to-month,Yes,Electronic check,106.35,6751.35,0,No,Maduro (36m+),4,1.74,Premium,1,1,2552.4,0.46709074711835435,0,Medio
5318-YKDPV,Male,0,Yes,Yes,43,DSL,Two year,Yes,Credit card (automatic),79.15,3566.6,0,No,Maduro (36m+),5,1.84,Alto,0,0,1899.6,0.08220123241224493,0,Bajo
7975-TZMLR,Male,0,No,No,47,Fiber optic,One year,Yes,Electronic check,103.1,4889.3,0,No,Maduro (36m+),4,2.19,Alto,0,1,2474.4,0.45572488075542983,0,Medio
0295-QVKPB,Male,0,No,No,5,DSL,Month-to-month,Yes,Credit card (automatic),63.95,318.1,0,No,Nuevo (0-12m),3,12.79,Bajo,1,0,1534.8,0.3196823375378421,0,Bajo
4335-BSMJS,Female,0,No,No,62,No,Two year,Yes,Credit card (automatic),25.8,1563.95,0,No,Maduro (36m+),0,0.42,Medio,0,0,619.2,0.020458402933020464,0,Bajo
2311-QYMUQ,Female,0,Yes,Yes,16,Fiber optic,Month-to-month,Yes,Credit card (automatic),89.45,1430.25,1,Yes,En desarrollo (13-36m),3,5.59,Medio,1,0,2146.8,0.6852870294734835,1,Medio
3643-AHCFP,Male,1,Yes,No,7,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),95.6,644.35,1,Yes,Nuevo (0-12m),2,13.66,Medio,1,0,2294.4,0.9031841664018125,1,Alto
9146-JRIOX,Female,0,Yes,Yes,14,No,Month-to-month,No,Mailed check,25.55,372.45,0,No,En desarrollo (13-36m),0,1.82,Bajo,1,0,613.2,0.1965219144100723,0,Bajo
3104-OWCGK,Male,0,Yes,Yes,60,Fiber optic,One year,No,Electronic check,90.95,5453.4,1,Yes,Maduro (36m+),3,1.52,Premium,0,1,2182.8,0.32858285272340537,0,Bajo
5337-IIWKZ,Male,0,Yes,Yes,34,DSL,Month-to-month,Yes,Electronic check,44.85,1442.6,0,No,En desarrollo (13-36m),3,1.32,Medio,1,1,1076.4,0.22716314567447873,0,Bajo
9101-BWFSS,Female,0,Yes,No,50,Fiber optic,One year,No,Electronic check,108.55,5610.7,1,Yes,Maduro (36m+),5,2.17,Premium,0,1,2605.2,0.5161371049021776,1,Medio
9650-VBUOG,Male,0,Yes,Yes,38,No,Two year,No,Credit card (automatic),25.05,963.95,0,No,Maduro (36m+),0,0.66,Medio,0,0,601.2,0.03371436624220257,0,Bajo
3487-EARAT,Female,0,Yes,Yes,70,DSL,One year,No,Credit card (automatic),74.1,5222.3,0,No,Maduro (36m+),5,1.06,Premium,0,0,1778.4,0.1378055695651209,0,Bajo
2672-TGEFF,Female,0,Yes,Yes,37,Fiber optic,Month-to-month,Yes,Electronic check,88.8,3340.55,0,No,Maduro (36m+),2,2.4,Alto,1,1,2131.2,0.6100711600520247,1,Medio
9231-ZJYAM,Female,1,No,No,4,Fiber optic,Month-to-month,Yes,Electronic check,78.85,292.8,1,Yes,Nuevo (0-12m),1,19.71,Bajo,1,1,1892.4,0.8597640579753485,1,Alto
4250-WAROZ,Male,1,Yes,Yes,60,Fiber optic,Month-to-month,Yes,Electronic check,93.25,5774.55,0,No,Maduro (36m+),3,1.55,Premium,1,1,2238.0,0.38194363822939764,0,Bajo
8184-WMOFI,Male,0,Yes,Yes,62,DSL,One year,No,Credit card (automatic),71.4,4487.3,0,No,Maduro (36m+),4,1.15,Alto,0,0,1713.6,0.1145897017928432,0,Bajo
6982-SSHFK,Male,0,No,No,1,DSL,Month-to-month,No,Mailed check,44.4,44.4,1,Yes,Nuevo (0-12m),0,44.4,Bajo,1,0,1065.6,0.7208884044739179,1,Alto
6092-QZVPP,Male,0,No,No,36,DSL,Month-to-month,Yes,Credit card (automatic),79.2,2854.95,0,No,En desarrollo (13-36m),5,2.2,Alto,1,0,1900.8,0.27000613980248167,0,Bajo
4625-LAMOB,Male,0,No,No,44,No,Two year,No,Credit card (automatic),20.4,905.55,0,No,Maduro (36m+),0,0.46,Medio,0,0,489.6,0.01109442686822951,0,Bajo
0727-BMPLR,Female,1,No,No,55,Fiber optic,One year,Yes,Electronic check,100.0,5509.3,1,Yes,Maduro (36m+),3,1.82,Premium,0,1,2400.0,0.536830834625699,1,Medio
0392-BZIUW,Female,0,Yes,No,72,Fiber optic,Two year,Yes,Credit card (automatic),105.0,7589.8,0,No,Maduro (36m+),4,1.46,Premium,0,0,2520.0,0.10267763971609481,0,Bajo
1038-ZAGBI,Female,0,Yes,Yes,12,No,One year,No,Bank transfer (automatic),19.8,229.6,1,Yes,Nuevo (0-12m),0,1.65,Bajo,0,0,475.2,0.35758975873910975,0,Bajo
6549-NNDYT,Female,0,No,No,13,DSL,Month-to-month,Yes,Bank transfer (automatic),30.85,394.1,0,No,En desarrollo (13-36m),1,2.37,Bajo,1,0,740.4,0.43227161753971666,0,Medio
3027-ZTDHO,Male,0,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,89.9,89.9,1,Yes,Nuevo (0-12m),2,89.9,Bajo,1,1,2157.6,0.9345692448343726,1,Alto
0422-OHQHQ,Female,0,Yes,Yes,15,No,One year,No,Mailed check,20.55,295.95,0,No,En desarrollo (13-36m),0,1.37,Bajo,0,0,493.2,0.03464678150703484,0,Bajo
6916-HIJSE,Female,0,No,No,65,DSL,Two year,Yes,Bank transfer (automatic),84.85,5459.2,0,No,Maduro (36m+),6,1.31,Premium,0,0,2036.4,0.03733292632449711,0,Bajo
2316-ESMLS,Female,0,Yes,Yes,12,DSL,One year,No,Credit card (automatic),33.15,444.75,0,No,Nuevo (0-12m),2,2.76,Bajo,0,0,795.6,0.13434206467916213,0,Bajo
9778-OGKQZ,Male,0,Yes,No,72,DSL,Two year,Yes,Credit card (automatic),92.0,6782.15,0,No,Maduro (36m+),6,1.28,Premium,0,0,2208.0,0.025377061480131323,0,Bajo
7408-OFWXJ,Female,0,Yes,Yes,72,DSL,Two year,No,Credit card (automatic),89.8,6510.45,0,No,Maduro (36m+),6,1.25,Premium,0,0,2155.2,0.012627525705358335,0,Bajo
6007-TCTST,Female,0,Yes,Yes,72,Fiber optic,Two year,Yes,Bank transfer (automatic),115.8,8476.5,0,No,Maduro (36m+),6,1.61,Premium,0,0,2779.2,0.031900220423634267,0,Bajo
2252-NKNSI,Male,0,No,Yes,52,DSL,Two year,Yes,Mailed check,85.15,4461.85,0,No,Maduro (36m+),5,1.64,Alto,0,0,2043.6,0.0631582033941924,0,Bajo
8713-IGZSO,Male,0,No,No,2,No,Month-to-month,No,Mailed check,24.85,62.0,0,No,Nuevo (0-12m),0,12.43,Bajo,1,0,596.4,0.4023168084494394,0,Medio
7905-TVXTA,Female,0,No,No,5,DSL,Month-to-month,Yes,Electronic check,64.35,352.65,0,No,Nuevo (0-12m),3,12.87,Bajo,1,1,1544.4,0.40323621706673957,0,Medio
7695-PKLCZ,Female,0,No,No,68,No,Two year,No,Credit card (automatic),20.5,1424.9,0,No,Maduro (36m+),0,0.3,Medio,0,0,492.0,0.007982196580744958,0,Bajo
2382-BCKQJ,Female,0,No,Yes,62,Fiber optic,One year,Yes,Electronic check,100.15,6413.65,1,Yes,Maduro (36m+),3,1.62,Premium,0,1,2403.6,0.44864041199522275,0,Medio
8374-UULRV,Male,0,No,No,72,DSL,Two year,No,Credit card (automatic),86.05,6309.65,0,No,Maduro (36m+),5,1.2,Premium,0,0,2065.2,0.024272026169663924,0,Bajo
2207-NHRJK,Male,0,No,No,1,DSL,Month-to-month,No,Electronic check,50.8,50.8,1,Yes,Nuevo (0-12m),1,50.8,Bajo,1,1,1219.2,0.7577560656566392,1,Alto
3224-DFQNQ,Female,0,Yes,No,66,Fiber optic,One year,No,Electronic check,89.0,5898.6,0,No,Maduro (36m+),3,1.35,Premium,0,1,2136.0,0.26488307308778497,0,Bajo
5275-PMFUT,Male,0,Yes,Yes,72,DSL,Two year,Yes,Credit card (automatic),64.8,4719.75,0,No,Maduro (36m+),6,0.9,Alto,0,0,1555.2,0.026512097791872823,0,Bajo
4795-UXVCJ,Male,0,No,No,26,No,One year,No,Credit card (automatic),19.8,457.3,0,No,En desarrollo (13-36m),0,0.76,Bajo,0,0,475.2,0.00721933830159766,0,Bajo
9777-IQHWP,Male,0,Yes,Yes,64,Fiber optic,Two year,No,Bank transfer (automatic),93.4,5822.3,0,No,Maduro (36m+),3,1.46,Premium,0,0,2241.6,0.07817369846148668,0,Bajo
0947-MUGVO,Male,1,Yes,No,20,Fiber optic,Month-to-month,Yes,Electronic check,73.65,1463.5,1,Yes,En desarrollo (13-36m),1,3.68,Medio,1,1,1767.6,0.7381375812232034,1,Alto
9944-HKVVB,Female,0,No,No,3,Fiber optic,Month-to-month,Yes,Electronic check,95.1,307.4,1,Yes,Nuevo (0-12m),3,31.7,Bajo,1,1,2282.4,0.8887622715953374,1,Alto
4124-MMETB,Male,0,No,No,22,Fiber optic,Month-to-month,Yes,Credit card (automatic),94.65,2104.55,1,Yes,En desarrollo (13-36m),2,4.3,Alto,1,0,2271.6,0.6833966767884693,1,Medio
3671-SHRSP,Male,0,Yes,No,4,Fiber optic,Month-to-month,Yes,Mailed check,80.6,319.15,1,Yes,Nuevo (0-12m),2,20.15,Bajo,1,0,1934.4,0.8428000970114556,1,Alto
0979-MOZQI,Male,0,Yes,No,62,DSL,Two year,Yes,Bank transfer (automatic),39.0,2337.45,0,No,Maduro (36m+),2,0.63,Alto,0,0,936.0,0.049978899176965165,0,Bajo
2732-ISEZX,Female,0,No,No,5,No,Month-to-month,Yes,Mailed check,20.5,104.3,0,No,Nuevo (0-12m),0,4.1,Bajo,1,0,492.0,0.19057308316169982,0,Bajo
3313-QKNKB,Male,0,Yes,No,59,Fiber optic,One year,No,Electronic check,85.55,5084.65,1,Yes,Maduro (36m+),1,1.45,Premium,0,1,2053.2,0.22738573487060815,0,Bajo
0323-XWWTN,Male,0,No,Yes,3,No,Two year,Yes,Mailed check,26.4,121.25,0,No,Nuevo (0-12m),0,8.8,Bajo,0,0,633.6,0.054453540037976006,0,Bajo
1937-OTUKY,Female,0,Yes,No,72,Fiber optic,Two year,Yes,Bank transfer (automatic),98.2,7015.9,0,No,Maduro (36m+),4,1.36,Premium,0,0,2356.8,0.05720584969531426,0,Bajo
1573-LGXBA,Male,0,Yes,Yes,57,Fiber optic,One year,Yes,Credit card (automatic),97.55,5598.0,0,No,Maduro (36m+),4,1.71,Premium,0,0,2341.2,0.26172764913835395,0,Bajo
1764-VUUMT,Male,0,No,Yes,66,No,Two year,No,Credit card (automatic),19.95,1269.1,0,No,Maduro (36m+),0,0.3,Medio,0,0,478.8,0.011712051072239946,0,Bajo
5073-WXOYN,Female,0,No,No,60,DSL,Month-to-month,Yes,Electronic check,50.8,3027.4,1,Yes,Maduro (36m+),3,0.85,Alto,1,1,1219.2,0.41412593316072005,0,Medio
4713-ZBURT,Male,0,No,Yes,45,Fiber optic,Two year,No,Bank transfer (automatic),99.7,4634.35,0,No,Maduro (36m+),3,2.22,Alto,0,0,2392.8,0.1315625094533622,0,Bajo
3050-GBUSH,Female,0,No,No,3,DSL,Month-to-month,Yes,Credit card (automatic),34.8,113.95,0,No,Nuevo (0-12m),1,11.6,Bajo,1,0,835.2,0.6911688513302764,1,Medio
0207-MDKNV,Female,0,No,No,15,Fiber optic,Month-to-month,No,Electronic check,105.1,1582.75,1,Yes,En desarrollo (13-36m),5,7.01,Medio,1,1,2522.4,0.7252270500799427,1,Alto
7876-AEHIG,Female,0,No,Yes,51,DSL,One year,No,Bank transfer (automatic),60.15,3077.0,0,No,Maduro (36m+),5,1.18,Alto,0,0,1443.6,0.14148017053941112,0,Bajo
7945-HLKEA,Female,0,No,No,60,DSL,One year,No,Electronic check,64.75,4039.5,0,No,Maduro (36m+),3,1.08,Alto,0,1,1554.0,0.09127169285689073,0,Bajo
9342-VNIMQ,Male,0,No,No,33,DSL,Month-to-month,Yes,Bank transfer (automatic),54.65,1665.2,0,No,En desarrollo (13-36m),1,1.66,Medio,1,0,1311.6,0.2631169127084538,0,Bajo
9851-KIELU,Male,0,No,No,10,Fiber optic,Month-to-month,Yes,Electronic check,110.1,1043.3,1,Yes,Nuevo (0-12m),6,11.01,Medio,1,1,2642.4,0.7754797899002205,1,Alto
3523-BRGUW,Male,1,No,No,26,No,One year,No,Credit card (automatic),19.3,504.2,0,No,En desarrollo (13-36m),0,0.74,Medio,0,0,463.2,0.007998918542333274,0,Bajo
3908-BLSYF,Female,0,No,No,6,Fiber optic,Month-to-month,No,Electronic check,83.9,497.55,1,Yes,Nuevo (0-12m),2,13.98,Bajo,1,1,2013.6,0.8172101406103064,1,Alto
3199-NPKCN,Female,0,Yes,No,67,Fiber optic,One year,Yes,Electronic check,111.25,7511.65,0,No,Maduro (36m+),5,1.66,Premium,0,1,2670.0,0.33550760028415394,0,Bajo
5170-PTRKA,Female,0,Yes,Yes,49,DSL,One year,Yes,Credit card (automatic),35.8,1782.0,0,No,Maduro (36m+),2,0.73,Medio,0,0,859.2,0.1303777142046019,0,Bajo
4661-NJEUX,Male,0,No,No,1,No,Month-to-month,Yes,Mailed check,20.05,20.05,0,No,Nuevo (0-12m),0,20.05,Bajo,1,0,481.2,0.6973154206177796,1,Medio
2123-AGEEN,Female,1,No,No,7,Fiber optic,Month-to-month,Yes,Electronic check,84.35,609.65,0,No,Nuevo (0-12m),2,12.05,Medio,1,1,2024.4,0.8679714041512137,1,Alto
1258-YMZNM,Female,1,No,No,27,Fiber optic,One year,Yes,Bank transfer (automatic),110.5,2857.6,0,No,En desarrollo (13-36m),5,4.09,Alto,0,0,2652.0,0.22381546947122102,0,Bajo
0048-LUMLS,Male,0,Yes,Yes,37,Fiber optic,One year,No,Credit card (automatic),91.2,3247.55,0,No,Maduro (36m+),2,2.46,Alto,0,0,2188.8,0.1954364536331291,0,Bajo
7549-MYGPK,Female,0,Yes,Yes,63,Fiber optic,Month-to-month,Yes,Electronic check,100.55,6215.35,1,Yes,Maduro (36m+),4,1.6,Premium,1,1,2413.2,0.6278508958753755,1,Medio
5898-IGSLP,Male,0,Yes,Yes,31,Fiber optic,Month-to-month,No,Electronic check,89.3,2823.0,0,No,En desarrollo (13-36m),3,2.88,Alto,1,1,2143.2,0.5413965926904009,1,Medio
3804-RVTGV,Male,0,Yes,Yes,50,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),103.85,5017.9,1,Yes,Maduro (36m+),4,2.08,Premium,1,0,2492.4,0.6286467624543711,1,Medio
6259-WJQLC,Male,1,No,No,32,Fiber optic,Month-to-month,Yes,Credit card (automatic),81.1,2619.25,0,No,En desarrollo (13-36m),1,2.53,Alto,1,0,1946.4,0.5768434230865926,1,Medio
9227-LUNBG,Female,0,No,No,1,DSL,Month-to-month,No,Electronic check,24.6,24.6,1,Yes,Nuevo (0-12m),0,24.6,Bajo,1,1,590.4,0.655078318978471,1,Medio
7997-EASSD,Female,0,Yes,No,63,Fiber optic,One year,Yes,Credit card (automatic),81.2,4965.1,0,No,Maduro (36m+),1,1.29,Alto,0,0,1948.8,0.11067352099262484,0,Bajo
0730-KOAVE,Male,0,No,No,30,Fiber optic,Month-to-month,Yes,Credit card (automatic),94.3,2679.7,0,No,En desarrollo (13-36m),3,3.14,Alto,1,0,2263.2,0.6301959147676661,1,Medio
8975-SKGRX,Male,0,Yes,No,71,Fiber optic,Two year,Yes,Bank transfer (automatic),116.1,8310.55,0,No,Maduro (36m+),6,1.64,Premium,0,0,2786.4,0.10049567811240151,0,Bajo
0678-RLHVP,Female,0,No,No,53,Fiber optic,Two year,No,Electronic check,105.55,5682.25,0,No,Maduro (36m+),4,1.99,Premium,0,1,2533.2,0.31807849240133695,0,Bajo
4315-MURBD,Female,0,No,No,12,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),98.9,1120.95,1,Yes,Nuevo (0-12m),4,8.24,Medio,1,0,2373.6,0.9022055604023178,1,Alto
2267-FPIMA,Male,0,Yes,No,50,Fiber optic,Month-to-month,Yes,Credit card (automatic),94.4,4914.9,0,No,Maduro (36m+),3,1.89,Alto,1,0,2265.6,0.5099302606741618,1,Medio
1051-GEJLJ,Female,0,No,No,2,No,Month-to-month,No,Mailed check,19.5,27.55,0,No,Nuevo (0-12m),0,9.75,Bajo,1,0,468.0,0.4017334296213512,0,Medio
9734-YWGEX,Female,0,No,No,9,Fiber optic,Month-to-month,No,Credit card (automatic),98.3,923.5,1,Yes,Nuevo (0-12m),3,10.92,Medio,1,0,2359.2,0.8628996832003594,1,Alto
2719-BDAQO,Male,0,No,No,17,Fiber optic,Month-to-month,No,Electronic check,93.85,1625.65,1,Yes,En desarrollo (13-36m),3,5.52,Medio,1,1,2252.4,0.7314219578045404,1,Alto
5285-MVEHD,Female,0,Yes,No,56,Fiber optic,One year,Yes,Credit card (automatic),105.6,6068.65,0,No,Maduro (36m+),5,1.89,Premium,0,0,2534.4,0.5303575082626033,1,Medio
0379-DJQHR,Male,0,Yes,Yes,67,DSL,Two year,No,Credit card (automatic),81.35,5398.6,0,No,Maduro (36m+),5,1.21,Premium,0,0,1952.4,0.05412352719466993,0,Bajo
